Starting training for 1000 steps...
Step 0237 | Loss: 0.131264 | Recall@32: 1.000 | Sparsity: 0.825 | StepTime: 59.381s
Step 0238 | Loss: 0.128340 | Recall@32: 1.000 | Sparsity: 0.870 | StepTime: 57.262s
Step 0239 | Loss: 0.131542 | Recall@32: 1.000 | Sparsity: 0.815 | StepTime: 64.384s
Step 0240 | Loss: 0.130381 | Recall@32: 1.000 | Sparsity: 0.844 | StepTime: 55.760s
Saved checkpoint: checkpoints/c2fab_weights_step_240.pt
Step 0241 | Loss: 0.135357 | Recall@32: 1.000 | Sparsity: 0.751 | StepTime: 49.647s
Step 0242 | Loss: 0.130085 | Recall@32: 1.000 | Sparsity: 0.844 | StepTime: 55.386s
Step 0243 | Loss: 0.130656 | Recall@32: 1.000 | Sparsity: 0.834 | StepTime: 54.024s
Step 0244 | Loss: 0.131532 | Recall@32: 1.000 | Sparsity: 0.815 | StepTime: 70.682s
Step 0245 | Loss: 0.134757 | Recall@32: 1.000 | Sparsity: 0.756 | StepTime: 73.394s
Step 0246 | Loss: 0.127389 | Recall@32: 1.000 | Sparsity: 0.884 | StepTime: 63.950s
Step 0247 | Loss: 0.132971 | Recall@32: 1.000 | Sparsity: 0.786 | StepTime: 46.630s
Step 0248 | Loss: 0.133515 | Recall@32: 1.000 | Sparsity: 0.782 | StepTime: 65.542s
Step 0249 | Loss: 0.127434 | Recall@32: 1.000 | Sparsity: 0.883 | StepTime: 45.132s
Step 0250 | Loss: 0.135238 | Recall@32: 1.000 | Sparsity: 0.752 | StepTime: 37.182s
Step 0251 | Loss: 0.135355 | Recall@32: 1.000 | Sparsity: 0.751 | StepTime: 49.094s
Step 0252 | Loss: 0.134891 | Recall@32: 1.000 | Sparsity: 0.752 | StepTime: 64.765s
Step 0253 | Loss: 0.129041 | Recall@32: 1.000 | Sparsity: 0.865 | StepTime: 46.809s
Step 0254 | Loss: 0.132445 | Recall@32: 1.000 | Sparsity: 0.801 | StepTime: 53.157s
Step 0255 | Loss: 0.129300 | Recall@32: 1.000 | Sparsity: 0.849 | StepTime: 80.535s
